id,name,addr:block,addr:city,addr:country,addr:district,addr:full,addr:hamlet,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,addr:subdistrict,addr:suburb,addr:unit,alt_name,amenity,barrier,beds,building,building:levels,check_date,comment,contact:email,contact:facebook,contact:instagram,contact:mobile,contact:nodal_officer_email,contact:nodal_officer_mobile,contact:phone,contact:twitter,description,designation,email,emergency,fax,fixme,full_name,healthcare,healthcare:speciality,heritage,heritage:operator,heritage:website,int_name,internet_access,landmark,landuse,mobile,name:bn,name:en,name:etymology:wikidata,name:hi,name:kn,name:ml,name:ta,name:ur,nohousenumber,note,official_name,official_name:etymology:wikidata,old_name,old_name:kn,opening_hours,operator,operator:short,operator:type,operator:wikidata,operator:wikipedia,phone,ref:nmma,research,short_name,source,start_date,toilets:wheelchair,type,ups_hospital,website,wheelchair,wikidata,wikimedia_commons,wikipedia,latitude,longitude
258978416,Amrit Hospital,,,,Chennai,"New No.310, Mint Street, Sowcarpet",,,,600079,Tamil Nadu,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,Amrit Hospital,,,,,,,,,,,,,,,,private,,,,,,,OpenGovernmentData,,,node,,http://www.amrithospital.com/,,,,,13.0922007,80.2792912
258978417,Vikram Hospital,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,Apollo Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.0985007,80.2796178
310504820,Goverment dental hospital & collage,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,அரசு பல் மருத்துவமனை மற்றும் கல்லூரி,,,,,,,,,,,,,,,,,,,,,node,,,,Q5588794,"Category:Government Dental Hospital and College, Chennai","en:Government Dental Hospital and College, Chennai",13.0829605,80.281264
310732936,Kilpauk Medical College,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,கீழ்ப்பாக்கம் மருத்துவமனை மற்றும் கல்லூரி,,,,,,,,,,,,,,,,,,,,,node,,,,Q12977046,Category:Kilpauk Medical College,en:Kilpauk Medical College,13.0785984,80.2433369
320275820,Govt Maternity Hospital,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.0720996,80.2589871
320275824,Institute of Child Health,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.0735496,80.257025
320275839,Institute of Obstetrics and Gynaecology dd,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.0735431,80.2591463
582384953,"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited",,,,Bengaluru Urban,"202, R.V.Road",,,,560001,Karnataka,Rashtriya Vidyalaya Road,,,,,hospital,,,,,,,,,,,,,,,,,info@Bengaluruhospital.co.in,,,,,hospital,,,,,,,,,,,,,,ಬೆಂಗಳೂರು ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,private,,,,,,,OpenGovernmentData,,,node,,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf,,,,,12.9376734,77.5802836
625856709,Manipal Northside Hospital,,bangalore,,Bengaluru Urban,"71, 11Th Main Road, Opposite Malleshwaram Railway Station, Malleshwaram",,,71,560003,Karnataka,"11th Main Road, Opp Railway Station, Malleswaram",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080 2222 1111,,,,OpenGovernmentData,,,node,,,yes,,,,13.0011275,77.5639285
663604723,Government Primary Health Centre,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಆರೋಗ್ಯ ಕೇಂದ್ರ,,,,,,,,,,,,,,,,,,,,,,,node,hospital,,,,,,12.9503234,77.6162619
769216417,Ramakrishna Nursing Home and Hospital,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9364329,77.583477
928491343,Delhi Heart and Lung Institute Super Speciality Hospital,,,,,,,,,,,,,,,,hospital,,,,,2024-04-12,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHLI,,,,node,,,,,,,28.6416777,77.2052683
1005544881,Mallya Audikesh Diagnostics Center,,Bangalore,,,,,,55,560001,,Infantry Road,,,,,hospital,,,,,,,,,,,,,,,,,bengaluru@medinovaindia.com,,+918022867244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+918022868423,,,,,,,node,,https://www.medinovaindia.com/,,,,,12.9815051,77.6011944
1006462338,Mallige Medical Centre,,Bangalore,,,,,,31/32,560001,,"Crescent Rd,Nehru Nagar,Gandhi Nagar",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080 2220 3333,,,,,,,node,,https://www.mallige.com/,,,,,12.985247,77.5803846
1067181192,Devine Hospital,,,,Bengaluru Urban,"110,6Th Main Iti Layout Benson Town Post",,,,560046,Karnataka,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ಡಿವೈನ್ ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,node,,,,,,,13.0038999,77.6039313
1085786951,Lalbagh Nursing Home,,,,,,,,,,,Siddapura Road,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ಲಾಲ್ಬಾಗ್ ನರ್ಸಿಂಗ್ ಹೋಂ,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9452313,77.5861734
1101622501,Government Maternity Hospital,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ಸರಕಾರಿ ಹೆರಿಗೆ ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9988604,77.5817424
1152858038,Rajan Eye Care Hospital,,Chennai,,Chennai,"5,Vidyodaya East Second Street, Behind Vidyodaya School",,,5,600017,Tamil Nadu,Vidyodaya 2nd Cross Street,,,,,hospital,,,,,,,,,,,,,,,,,rajaneye@vsnl.com,,,,,hospital,ophthalmology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2834 0500/0300,,,,OpenGovernmentData,,,node,,https://rajaneyecare.com/,,,,,13.0508335,80.2434416
1290125198,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.0043642,77.5652959
