id,name,access,addr:city,addr:district,addr:housenumber,addr:locality,addr:place,addr:postcode,addr:street,addr:unit,alt_name,barrier,created_by,description,designation,disused:leisure,fee,fence_type,landuse,layer,leisure,location,material,name:ar,name:de,name:en,name:es,name:etymology,name:etymology:description,name:etymology:wikidata,name:fa,name:fr,name:hi,name:ml,name:ta,name:ur,name:zh,noname,official_name,old_name,opening_hours,operator,operator:type,parking,short_name,source,source:boundary,source_ref,toilets:access,tourism,type,wall,website,wheelchair,wikidata,wikimedia_commons,wikipedia,latitude,longitude
7602598775,park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.0668847,80.2414517
23186307,Independence Day Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,Q56106,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0560027,80.2418757
23892256,People's Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0886067,80.2732414
23954915,Kalaignar Noorandu Poonga,,,,,,,,,,,,,,,,,,,,park,,,,,Kalaignar Centenary Park,,,,Q470875,,,,,,,,,,Horticultural Society Garden,,,,,,,,,,,way,,,,,,,13.0509612,80.2553857
24375590,Haddows Road Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0635667,80.2477793
25808365,Senmozhi Poonga,,Chennai,,,,,600086,Cathedral Road,Teynampet,,,,One of the largest parks in Chennai.,,,,,,,park,,,,,Semmozhi Poonga,,,,,,,,,செம்மொழி பூங்கா,,,,,,,,,,,,,,,attraction,way,,,,Q12068695,Category:Semmozhi Poonga,en:Semmoli Poonga,13.0518131,80.2512638
26396360,Anna Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,Q138765,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.1085378,80.288191
26748565,Mehta Nagar Ground,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0705444,80.2273071
27483603,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0414529,80.2520432
27618336,,,,,,,,,,,,,,,,,,,,1,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0819325,80.2797654
27618366,MMC Ground,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.086711,80.2820798
28137710,Park 113,,,,,,,,,,,,Potlatch 0.10f,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0479545,80.2505496
28747324,Fort Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0799602,80.2882862
29252773,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0521442,80.2409297
30851611,Thiru Vi Ka Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,Q7785243,,,,,,,,,,,,,,,,,,,,,way,,,,Q65293802,,"en:Thiru Vi Ka Park, Chennai",13.0775515,80.2253182
30977720,Patel Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0963717,80.252709
30978196,Ramanujalu Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0959996,80.2578499
31726931,M.G.R Memorial,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,എംജിആർ സ്മാരകം,எம்.ஜி.ஆர் நினைவிடம்,,,,,,,,,,,,,,,,way,,,,,,,13.0643879,80.2837498
31726933,Anna Memorial,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,അണ്ണാ സ്മാരകം,அண்ணா நினைவிடம்,,,,,,,,,,,,,,,,way,,,,,,,13.0649543,80.2855512
45871568,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0788957,80.265526
47497688,Annie Besant Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,Q464318,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.050135,80.2806472
48048690,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0953312,80.2619445
48049878,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0902856,80.2635305
48753882,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0917145,80.2297787
53348317,Corporation Ground,,Chennai,,,,,600011,Perambur High Road,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,Perambur Park,,,,,,,,,way,,,,,,,13.108788,80.243273
177257948,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0404575,80.2603603
208593387,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0402623,80.268129
209535315,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0521045,80.2420279
211436944,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.060394,80.2830178
211436945,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0465193,80.2803513
211436946,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0467073,80.2803943
211436947,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0496378,80.280804
211436949,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,13.0576699,80.282318
