id,name,access,alt_name,area:highway,barrier,garden:type,landuse,leaf_cycle,leaf_type,leisure,name:kn,natural,official_name,survey:date,type,latitude,longitude
55210154,Otteri Urban Eco Forest,,,,,,,,,,,wood,,,way,13.092028,80.2464856
460134287,,,,,,,,,,garden,,,,,way,13.082156,80.2812165
604190555,,,,,,,,,,,,wood,,,way,13.1055268,80.2675566
657856726,,,,,,,,,,,,wood,,,way,13.0752433,80.2411912
692614903,,,,,,,,,,,,wood,,,way,13.1171236,80.261868
1066019826,,,,,,,,,,garden,,,,,way,13.0815063,80.2710186
1115397644,,,,,,,,,,garden,,,,,way,13.0812192,80.2714203
1115397645,,,,,,,,,,garden,,,,,way,13.0813406,80.2712977
1115397646,,,,,,,,,,garden,,,,,way,13.0812962,80.2710178
1115397647,,,,,,,,,,garden,,,,,way,13.0812758,80.2710836
1115397659,,,,,,,,,,garden,,,,,way,13.0813558,80.271505
1115397660,,,,,,,,,,garden,,,,,way,13.081233,80.271481
1115397661,,,,,,,,,,garden,,,,,way,13.0814856,80.2714789
1115397677,,,,,,,,,,garden,,,,,way,13.0813923,80.2723247
1115397681,,,,,,,,,,garden,,,,,way,13.0815657,80.2718749
1115399657,,,,,,,,,,garden,,,,,way,13.0814238,80.2725227
1115399658,,,,,,,,,,garden,,,,,way,13.081657,80.2723314
1115399670,,,,,,,,,,garden,,,,,way,13.0816024,80.2725507
1115399689,,,,,,,,,,garden,,,,,way,13.081555,80.272937
1115399690,,,,,,,,,,garden,,,,,way,13.0816931,80.2728905
1122111806,,,,,,,,,,,,wood,,,way,13.0870391,80.2887806
1127409906,,,,,,,,,,garden,,,,,way,13.0706126,80.2573765
1127409907,,,,,,,,,,garden,,,,,way,13.0706852,80.2573881
1127409908,,,,,,,,,,garden,,,,,way,13.0705367,80.2572031
1127409913,,,,,,,,,,garden,,,,,way,13.070923,80.2579796
1128548944,,,,,,,,,,garden,,,,,way,13.0693722,80.2776531
1130557237,,,,,,,,,,garden,,,,,way,13.073496,80.2858981
1130557265,,,,,,,,,,garden,,,,,way,13.0739719,80.2854806
1130557267,,,,,,,,,,garden,,,,,way,13.0740642,80.2859044
1130557270,,,,,,,,,,garden,,,,,way,13.0729568,80.2854113
1132419634,,,,,,,,,,,,wood,,,way,13.072593,80.2814388
1132419636,,,,,,,,,,,,wood,,,way,13.0731208,80.2819863
1178254053,,,,,,,,,,garden,,,,,way,13.0953826,80.2830164
1188874038,,,,,,,,,,garden,,,,,way,13.0820376,80.2743069
1188874047,,,,,,,,,,garden,,,,,way,13.0819354,80.2737958
1188874065,,,,,,,,,,garden,,,,,way,13.0821379,80.274357
1188946003,,,,,,,,,,garden,,,,,way,13.0699059,80.2770171
1237724076,,,,,,,,,,garden,,,,,way,13.0938329,80.2774546
1415896140,,,,,,,,,,,,wood,,,way,13.1081451,80.2484442
38318887,Cubbon Park Circle,,Ringwood Circle,,,,,,,garden,ಕಬ್ಬನ್ ಪಾರ್ಕ್ ವೃತ್ತ,,,,way,12.9761438,77.5909679
38871254,,,,,,,,,,garden,,,,,way,12.9794357,77.5892225
