id,name,alt_name,amenity,basin,boat,canoe,covered,fixme,golf,intermittent,landuse,layer,man_made,marsh,motorboat,name:kn,natural,ship,source,survey:date,tunnel,type,water,waterway,wikidata,wikipedia,latitude,longitude
23885099,Kandaswami Muthukumaraswami Koil Kulam,,,,,,,,,,,,,,,,water,,,,,way,pond,,,,13.0859725,80.2785635
28126428,Byrasandra Lake,,,,,,,,,,,,,,,ಬೈರಸಂದ್ರ ಕೆರೆ,water,,,,,way,lake,,,,12.9305817,77.5951143
29241216,Agathishwara Perumal Koil Kulam,,,,,,,,,,,,,,,,water,,,,,way,pond,,,,13.0603707,80.2416063
30978033,Kandasamy Koil Tank,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,13.0946197,80.2559794
36807991,Yamuna River,,,,,,,,,,,,,,,,water,,,,,way,river,,Q132726,en:Yamuna,28.6285868,77.2582948
38047206,Kempambudhi Kere,,,,,,,,,,,,,,,ಕೆಂಪಾಂಬುಧಿ ಕೆರೆ,water,,,,,way,,,,,12.9533021,77.5604014
44176825,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6144846,77.2119849
44176826,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6130826,77.2119036
44176827,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6143258,77.2194103
44176828,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6124433,77.224535
44176829,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6140534,77.2250806
44176830,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6135471,77.2295503
44176831,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6130432,77.2123681
44176832,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6144227,77.2176503
44176835,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6124046,77.224966
47109361,Kachaleeswara Temple Reservoir,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,13.0936322,80.2872564
47109373,Malligeshwarar Temple Reservoir,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,13.0980103,80.290199
47415291,Kondithope Kasi Viswanathar Koil,Krishnappa Tank,,,,,,Please confirm if this temple pond is also called Krishnappa Tank?,,,,,,,,,water,,,,,way,pond,,,,13.1004935,80.2782506
47571166,Thiruvateeswaran Koil Kulam,,,,,,,,,,,,,,,,water,,,,,way,pond,,,,13.061857,80.272301
48057021,Gangadeeshwarar Koil Kulam,,,,,,,,,,,,,,,,water,,,,,way,pond,,,,13.0854349,80.2540074
48737652,,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,13.1057869,80.2379157
52057922,Lotus Pond,,,,,,,,,,,,,,,,water,,,,,way,pond,,,,12.9774853,77.5959612
52059617,Sampangi Lake,,,,,,,,,,,,,,,ಸಂಪಂಗಿ ಕೆರೆ,water,,,,,way,reservoir,,,,12.9684867,77.5900461
80932797,Prasad Nagar Lake,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.646369,77.1775067
81352219,,,,,,,,,,,,,,,,,water,,,,,way,pond,,,,28.5894073,77.1914106
83075012,,,,,,,,,,,,,,,,,water,,,,,way,river,,,,13.0785527,80.273146
104651362,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0743595,80.2803778
104651364,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0725227,80.279154
104651366,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0728655,80.2789912
104651368,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0726673,80.2801804
104651370,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0744004,80.2795532
104651371,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0736483,80.2785289
104651372,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0739758,80.2826049
104651373,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0732543,80.2828518
104651376,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0764163,80.2808716
111695184,Bangla Sahib Sarovar,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,28.627228,77.2082696
112869306,,,,,,,,,,,,,,,,,water,,,,,way,river,,,,13.0670407,80.2274645
122414898,,,,,,,,,,,,,,,,,water,,,,,way,basin,,,,28.5893139,77.2109865
122414899,,,,,,,,,,,,,,,,,water,,,,,way,basin,,,,28.5895877,77.21051
122414902,,,,,,,,,,,,,,,,,water,,,,,way,basin,,,,28.588185,77.2106209
122414908,,,,,,,,,,,,,,,,,water,,,,,way,basin,,,,28.5892104,77.2092001
125180718,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.1262953,80.2588456
125180721,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.1219511,80.2487341
125234697,,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,13.1157132,80.2619254
127012059,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.1180273,80.2698951
127012071,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.1191033,80.2704264
127012072,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.1160159,80.2681463
127464711,Virupatcheshwarer Temple Tank,,,,,,,,,,,,,,,,water,,,,,way,pond,,,,13.0390395,80.2744288
131610642,,,,,,,,,,,,,,,,,water,,,,,way,,,,,12.9285663,77.6034816
138980171,Subramanya Swamy Temple Kalyani,,,,,,,,,,,,,,,ಸುಬ್ರಹ್ಮಣ್ಯ ಸ್ವಾಮಿ ದೇವಸ್ಥಾನ ಕಲ್ಯಾಣಿ,water,,,,,way,pond,,,,12.9772766,77.6278024
148169131,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6297641,77.2482445
155781156,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6176716,77.1646115
155781157,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6167457,77.1652467
155786327,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6282355,77.1657107
155786328,,,,,,,,,,,,,,,,,water,,,,,way,,,,,28.6300541,77.16772
169709332,,,,,,,,,,,reservoir,,,,,,water,,,,,way,pond,,,,12.9759219,77.6245929
172845847,Lalbagh Tank,,,,,,,,,,,,,,,ಲಾಲ್‌ಬಾಗ್ ಕೆರೆ,water,,,,,way,pond,,,,12.9462818,77.5817593
175293916,Palace Grounds Lake,,,,,,,,,,,,,,,ಅರಮನೆ ಮೈದಾನದ ಕೆರೆ,water,,,,,way,,,,,13.0009856,77.5867048
182177278,Kadiranpalaya Kere,,,,,,,,,,,,,,,ಕದಿರನ ಪಾಳ್ಯ,water,,,,,way,lake,,,,12.9829831,77.6348475
208578469,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.036306,80.2687399
