date,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN
20260501,26.41,30.99,22.33,71.13,6.8993
20260502,28.46,35.54,22.19,61.94,6.8551
20260503,26.88,32.45,21.63,63.76,6.9994
20260504,27.4,33.41,22.55,64.29,5.58
20260505,25.92,32.07,21.7,69.16,3.4471
20260506,27.26,33.95,22.15,62.71,4.8082
20260507,26.95,33.51,21.67,67.0,6.4474
20260508,27.23,35.27,21.39,66.14,6.0151
20260509,26.79,33.87,22.14,67.4,5.4101
20260510,27.41,35.4,20.89,60.19,6.9701
20260511,27.92,36.13,21.05,57.62,6.365
20260512,28.28,36.5,20.59,56.77,6.2122
20260513,28.62,36.73,20.89,55.09,5.628
20260514,28.34,35.61,22.04,57.54,4.8792
20260515,27.89,35.51,22.25,56.63,1.4405
20260516,28.54,36.89,21.77,54.05,4.889
20260517,28.52,35.47,21.89,58.88,4.8991
20260518,26.33,30.3,23.37,73.51,5.7326
20260519,25.68,29.62,22.81,79.39,5.9491
20260520,25.87,31.08,22.23,74.89,-999.0
20260521,27.31,34.94,21.78,64.53,6.7495
20260522,26.76,33.82,22.06,68.62,5.5094
20260523,23.74,26.96,21.05,77.25,2.9222
20260524,24.62,28.7,20.84,77.64,6.7133
20260525,27.05,34.96,20.72,66.04,6.7949
20260526,27.61,34.22,22.24,67.42,6.7306
20260527,26.83,32.16,22.18,71.6,5.2102
20260528,26.42,31.02,22.55,74.16,6.5261
20260529,26.91,32.91,21.75,71.0,6.637
20260530,25.98,31.41,22.0,76.76,6.4219
20260531,25.98,32.15,21.6,75.96,6.8098
