date,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN
20260501,32.37,40.74,24.04,33.92,6.4752
20260502,33.49,41.74,24.57,27.05,6.445
20260503,33.22,42.11,25.15,30.07,6.4438
20260504,27.77,34.93,22.27,52.97,6.4882
20260505,28.37,35.71,21.93,44.89,6.0854
20260506,29.21,37.23,21.24,44.33,6.5618
20260507,29.72,37.55,23.23,41.16,6.5618
20260508,29.36,37.23,21.49,43.47,6.587
20260509,30.92,38.26,23.25,39.17,6.468
20260510,31.25,38.4,23.5,39.68,6.6245
20260511,32.99,39.81,25.4,35.82,6.4769
20260512,33.18,40.72,26.43,38.27,6.5386
20260513,33.93,41.21,25.78,37.52,6.6526
20260514,33.86,41.92,25.62,34.34,6.6648
20260515,34.45,42.17,27.17,27.22,6.715
20260516,34.22,42.67,25.55,26.74,6.7774
20260517,35.25,43.58,26.5,25.61,6.7306
20260518,36.44,45.34,26.97,23.51,6.8873
20260519,37.29,46.25,28.21,18.07,6.9734
20260520,36.98,46.08,28.04,17.48,-999.0
20260521,36.92,45.49,28.57,20.26,6.8719
20260522,36.79,45.29,28.5,15.46,6.9742
20260523,36.81,45.14,28.82,19.8,6.7483
20260524,37.14,46.08,27.35,18.56,6.8904
20260525,37.66,45.32,30.72,17.9,6.6804
20260526,37.58,46.27,28.64,15.18,7.0469
20260527,37.78,46.81,28.98,11.96,7.0925
20260528,37.63,45.36,29.45,17.25,6.8311
20260529,35.31,42.54,27.95,31.78,6.5282
20260530,33.62,39.95,27.05,37.33,6.786
20260531,31.08,36.69,25.41,44.3,5.5716
