date,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN
20260501,32.87,41.32,24.1,30.02,6.4752
20260502,33.73,42.22,24.53,25.57,6.445
20260503,34.16,42.42,26.13,24.63,6.4438
20260504,28.48,35.64,22.85,49.29,6.4882
20260505,28.84,35.77,21.38,45.64,6.0854
20260506,29.49,37.0,21.73,43.67,6.5618
20260507,30.42,38.56,23.05,39.03,6.5618
20260508,29.51,37.43,21.44,42.85,6.587
20260509,31.05,38.37,23.43,39.25,6.468
20260510,31.75,38.9,24.48,37.05,6.6245
20260511,33.29,40.2,25.82,33.37,6.4769
20260512,34.09,41.9,26.92,33.89,6.5386
20260513,34.71,42.32,26.61,32.37,6.6526
20260514,34.2,42.63,26.25,31.52,6.6648
20260515,34.74,42.45,28.11,25.62,6.715
20260516,34.42,42.65,25.88,25.04,6.7774
20260517,35.49,43.53,26.92,24.12,6.7306
20260518,36.77,45.48,27.41,22.04,6.8873
20260519,37.17,45.92,28.41,17.36,6.9734
20260520,36.86,45.61,28.2,16.8,-999.0
20260521,36.67,44.31,29.32,20.57,6.8719
20260522,36.15,44.46,27.51,16.36,6.9742
20260523,36.56,44.85,28.43,19.69,6.7483
20260524,37.08,45.82,27.95,18.59,6.8904
20260525,37.39,44.73,31.06,18.79,6.6804
20260526,37.41,46.1,28.26,16.88,7.0469
20260527,37.87,46.63,28.68,13.96,7.0925
20260528,38.31,45.64,30.35,19.81,6.8311
20260529,35.71,42.29,28.67,30.89,6.5282
20260530,33.84,40.18,27.58,36.99,6.786
20260531,32.01,38.04,25.49,39.29,5.5716
