date,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN
20260501,34.33,42.63,26.43,22.29,7.1551
20260502,35.49,42.97,27.1,25.33,6.8748
20260503,35.47,43.05,28.51,24.63,7.0404
20260504,33.64,41.19,26.24,36.23,7.1398
20260505,32.98,40.36,26.51,41.15,6.6948
20260506,32.5,39.2,25.75,42.92,6.3132
20260507,32.91,40.15,25.51,38.41,6.7272
20260508,31.76,38.32,25.43,45.66,6.3588
20260509,32.18,39.77,24.85,43.13,6.2426
20260510,32.03,39.88,24.2,44.03,6.7853
20260511,32.22,40.07,24.06,42.52,6.995
20260512,32.85,40.85,25.2,43.97,6.7752
20260513,33.08,40.66,25.14,41.3,6.9329
20260514,34.27,41.55,26.99,35.82,4.5626
20260515,34.36,40.68,28.38,37.02,5.5637
20260516,34.11,41.87,28.27,37.78,6.9358
20260517,32.9,40.02,27.09,45.01,6.7596
20260518,33.34,39.69,27.05,44.49,6.9074
20260519,34.29,40.85,27.13,42.02,6.8645
20260520,36.14,43.47,28.65,30.5,-999.0
20260521,37.02,44.27,30.28,25.85,6.9646
20260522,37.01,44.71,29.76,30.65,6.4932
20260523,37.2,44.29,30.94,26.96,6.3024
20260524,34.68,42.52,28.3,40.43,6.9648
20260525,35.77,44.34,27.81,35.28,6.2484
20260526,34.71,42.86,27.5,44.01,6.9706
20260527,31.03,36.64,25.86,61.17,5.5694
20260528,33.83,42.05,26.27,48.76,6.9468
20260529,32.17,38.26,26.56,53.75,6.9228
20260530,33.01,40.74,26.46,44.74,6.9552
20260531,32.51,38.46,26.68,44.55,6.9139
