time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,wind_direction_10m,shortwave_radiation,direct_normal_irradiance,diffuse_radiation
2026-05-01T00:00,30.7,78,35.5,0.0,19.6,187,0.0,0.0,0.0
2026-05-01T01:00,30.6,76,35.0,0.0,19.2,199,0.0,0.0,0.0
2026-05-01T02:00,30.2,75,34.5,0.0,18.1,197,0.0,0.0,0.0
2026-05-01T03:00,29.8,77,34.3,0.0,16.5,196,0.0,0.0,0.0
2026-05-01T04:00,29.5,77,34.1,0.0,14.7,191,0.0,0.0,0.0
2026-05-01T05:00,29.4,73,33.2,0.0,15.1,211,0.0,0.0,0.0
2026-05-01T06:00,29.4,73,33.4,0.0,14.3,199,22.0,58.3,16.0
2026-05-01T07:00,30.4,69,34.5,0.0,13.4,195,149.0,245.2,81.0
2026-05-01T08:00,31.1,66,35.0,0.0,14.7,192,171.0,0.0,171.0
2026-05-01T09:00,33.3,57,37.3,0.0,12.7,207,411.0,200.3,270.0
2026-05-01T10:00,35.1,49,39.4,0.0,12.1,200,668.0,410.1,316.0
2026-05-01T11:00,36.0,46,41.3,0.0,8.3,198,781.0,481.2,320.0
2026-05-01T12:00,36.7,44,42.8,0.0,7.9,167,921.0,733.7,190.0
2026-05-01T13:00,36.2,51,42.1,0.0,13.8,152,853.0,687.0,186.0
2026-05-01T14:00,35.1,58,40.6,0.0,18.1,145,760.0,647.6,188.0
2026-05-01T15:00,34.3,56,37.9,0.0,20.0,153,584.0,561.2,169.0
2026-05-01T16:00,33.3,63,37.4,0.0,19.4,157,397.0,469.6,139.0
2026-05-01T17:00,33.0,61,36.8,0.0,17.5,161,202.0,325.2,96.0
2026-05-01T18:00,32.0,69,36.6,0.0,17.1,165,42.0,124.9,26.0
2026-05-01T19:00,31.0,78,36.4,0.0,17.0,171,0.0,0.0,0.0
2026-05-01T20:00,30.9,80,36.6,0.0,16.5,173,0.0,0.0,0.0
