time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,wind_direction_10m,shortwave_radiation,direct_normal_irradiance,diffuse_radiation
2026-05-01T00:00,23.5,66,23.7,0.0,15.2,158,0.0,0.0,0.0
2026-05-01T01:00,23.1,67,23.4,0.0,14.0,164,0.0,0.0,0.0
2026-05-01T02:00,22.7,69,22.9,0.0,14.9,162,0.0,0.0,0.0
2026-05-01T03:00,22.5,70,22.8,0.0,14.3,155,0.0,0.0,0.0
2026-05-01T04:00,22.1,72,22.7,0.0,12.4,137,0.0,0.0,0.0
2026-05-01T05:00,22.3,76,23.1,0.0,13.8,122,0.0,0.0,0.0
2026-05-01T06:00,22.9,72,24.1,0.0,10.6,122,24.0,28.8,21.0
2026-05-01T07:00,24.6,65,25.7,0.0,10.2,116,151.0,197.1,97.0
2026-05-01T08:00,26.5,57,27.2,0.0,13.0,121,325.0,338.4,161.0
2026-05-01T09:00,28.6,51,29.6,0.0,11.4,129,527.0,484.6,202.0
2026-05-01T10:00,30.7,44,32.6,0.0,10.3,128,707.0,589.4,224.0
2026-05-01T11:00,32.2,40,34.9,0.0,9.0,116,826.0,636.5,240.0
2026-05-01T12:00,34.0,36,37.3,0.0,7.3,132,884.0,657.2,248.0
2026-05-01T13:00,35.1,33,38.5,0.0,5.4,159,870.0,652.9,245.0
2026-05-01T14:00,35.8,30,38.6,0.0,4.1,225,786.0,620.3,234.0
2026-05-01T15:00,36.2,28,37.1,0.0,7.9,270,639.0,547.7,217.0
2026-05-01T16:00,35.6,28,35.5,0.0,10.5,287,445.0,426.7,186.0
2026-05-01T17:00,34.3,28,34.5,0.0,5.5,157,254.0,292.2,134.0
2026-05-01T18:00,33.2,30,33.3,0.0,7.0,136,94.0,133.4,68.0
2026-05-01T19:00,31.6,35,32.0,0.0,6.1,93,5.0,0.0,5.0
2026-05-01T20:00,30.4,39,30.3,0.0,11.5,117,0.0,0.0,0.0
2026-05-01T21:00,29.3,44,29.4,0.0,11.7,94,0.0,0.0,0.0
2026-05-01T22:00,28.4,48,28.6,0.0,13.1,105,0.0,0.0,0.0
2026-05-01T23:00,27.8,53,28.4,0.0,13.7,101,0.0,0.0,0.0
2026-05-02T00:00,27.4,53,28.1,0.0,12.6,117,0.0,0.0,0.0
2026-05-02T01:00,26.7,56,27.5,0.0,11.6,125,0.0,0.0,0.0
2026-05-02T02:00,26.3,57,27.1,0.0,11.4,115,0.0,0.0,0.0
2026-05-02T03:00,26.1,57,26.9,0.0,10.4,122,0.0,0.0,0.0
2026-05-02T04:00,25.6,58,26.2,0.0,11.6,145,0.0,0.0,0.0
2026-05-02T05:00,25.3,65,26.5,0.0,12.6,152,0.0,0.0,0.0
2026-05-02T06:00,25.9,63,27.8,0.0,8.1,156,24.0,28.5,21.0
2026-05-02T07:00,27.6,58,30.2,0.0,3.6,139,146.0,177.2,97.0
2026-05-02T08:00,30.1,51,32.4,0.0,6.7,149,339.0,375.8,156.0
2026-05-02T09:00,32.8,41,34.1,0.0,9.9,147,535.0,504.0,196.0
2026-05-02T10:00,34.5,35,36.7,0.0,7.6,149,706.0,587.1,224.0
2026-05-02T11:00,35.7,31,38.3,0.0,8.1,141,823.0,631.2,241.0
2026-05-02T12:00,37.0,29,39.4,0.0,7.0,168,799.0,546.0,270.0
2026-05-02T13:00,35.6,29,35.7,0.0,14.2,192,672.0,332.9,353.0
2026-05-02T14:00,34.8,31,35.1,0.0,9.1,129,541.0,287.3,285.0
2026-05-02T15:00,35.7,27,36.2,0.0,6.0,159,574.0,448.4,228.0
2026-05-02T16:00,36.2,26,36.5,0.0,5.0,224,444.0,415.9,191.0
2026-05-02T17:00,36.3,21,35.0,0.0,9.8,82,244.0,274.1,131.0
2026-05-02T18:00,32.3,34,31.2,0.0,18.0,104,87.0,106.8,66.0
2026-05-02T19:00,31.6,36,30.9,0.0,15.3,111,6.0,0.0,6.0
2026-05-02T20:00,30.6,38,30.3,0.0,13.2,112,0.0,0.0,0.0
2026-05-02T21:00,29.7,40,29.5,0.0,11.9,94,0.0,0.0,0.0
2026-05-02T22:00,29.2,42,28.8,0.0,13.4,95,0.0,0.0,0.0
2026-05-02T23:00,28.4,46,28.4,0.0,13.0,134,0.0,0.0,0.0
2026-05-03T00:00,27.9,46,27.8,0.0,12.6,142,0.0,0.0,0.0
2026-05-03T01:00,26.3,50,26.4,0.0,10.5,163,0.0,0.0,0.0
2026-05-03T02:00,25.5,52,25.3,0.0,12.3,155,0.0,0.0,0.0
2026-05-03T03:00,25.1,51,24.8,0.0,11.5,149,0.0,0.0,0.0
2026-05-03T04:00,24.4,54,24.5,0.0,9.2,129,0.0,0.0,0.0
2026-05-03T05:00,24.8,59,25.0,0.0,13.0,114,0.0,0.0,0.0
2026-05-03T06:00,25.1,59,25.1,0.0,15.4,127,25.0,37.5,21.0
2026-05-03T07:00,26.5,56,26.8,0.0,14.9,135,155.0,200.7,99.0
2026-05-03T08:00,29.0,50,29.6,0.0,14.3,144,347.0,388.5,157.0
2026-05-03T09:00,31.9,42,32.5,0.0,13.6,145,542.0,511.5,197.0
2026-05-03T10:00,34.0,37,35.9,0.0,8.6,143,642.0,491.1,238.0
2026-05-03T11:00,34.5,30,35.8,0.0,10.5,65,803.0,596.7,252.0
2026-05-03T12:00,35.2,29,36.5,0.0,4.0,72,637.0,322.6,324.0
2026-05-03T13:00,34.0,28,32.5,0.0,16.3,70,416.0,102.1,318.0
2026-05-03T14:00,33.9,35,34.8,0.0,16.6,103,763.0,582.9,243.0
2026-05-03T15:00,33.6,34,32.9,0.0,17.7,99,519.0,323.5,269.0
2026-05-03T16:00,34.2,32,33.5,0.0,15.8,120,442.0,416.6,188.0
2026-05-03T17:00,34.7,26,33.2,0.0,14.2,114,259.0,277.9,144.0
2026-05-03T18:00,31.9,44,32.4,0.0,16.6,95,97.0,136.0,70.0
2026-05-03T19:00,31.2,47,31.8,0.0,17.1,87,6.0,0.0,6.0
2026-05-03T20:00,30.7,50,31.3,0.0,18.2,86,0.0,0.0,0.0
2026-05-03T21:00,29.5,53,30.0,0.0,18.5,101,0.0,0.0,0.0
2026-05-03T22:00,28.7,54,28.7,0.0,21.1,107,0.0,0.0,0.0
2026-05-03T23:00,27.0,61,27.6,0.0,18.7,313,0.0,0.0,0.0
2026-05-04T00:00,25.1,62,24.9,0.0,19.7,324,0.0,0.0,0.0
2026-05-04T01:00,23.2,74,23.7,1.7,17.5,352,0.0,0.0,0.0
2026-05-04T02:00,22.7,74,22.6,0.3,20.0,26,0.0,0.0,0.0
2026-05-04T03:00,23.2,72,23.8,0.0,15.2,66,0.0,0.0,0.0
2026-05-04T04:00,22.8,70,22.8,0.0,16.5,76,0.0,0.0,0.0
2026-05-04T05:00,21.1,84,21.1,0.0,20.0,177,0.0,0.0,0.0
2026-05-04T06:00,20.7,92,21.0,0.6,22.0,67,3.0,0.0,3.0
2026-05-04T07:00,20.6,91,21.0,0.6,20.9,83,23.0,0.0,23.0
2026-05-04T08:00,22.4,79,24.3,0.0,8.5,151,154.0,24.4,142.0
2026-05-04T09:00,25.9,55,26.1,0.0,12.9,117,402.0,183.4,278.0
2026-05-04T10:00,28.6,45,29.3,0.0,13.6,78,695.0,529.1,259.0
2026-05-04T11:00,28.0,52,29.5,0.0,17.0,95,831.0,629.4,249.0
2026-05-04T12:00,29.0,49,30.4,0.0,18.7,106,881.0,640.4,259.0
2026-05-04T13:00,29.9,43,30.6,0.0,19.6,107,866.0,636.1,255.0
2026-05-04T14:00,30.4,39,31.5,0.0,12.4,124,772.0,585.5,249.0
2026-05-04T15:00,30.7,38,30.7,0.0,11.4,95,581.0,435.4,244.0
2026-05-04T16:00,30.5,39,30.6,0.0,10.5,115,434.0,392.8,194.0
2026-05-04T17:00,30.3,39,29.7,0.0,14.8,96,246.0,264.8,136.0
2026-05-04T18:00,28.7,46,28.8,0.0,12.6,112,97.0,129.7,71.0
2026-05-04T19:00,27.2,52,27.7,0.0,11.9,96,6.0,0.0,6.0
2026-05-04T20:00,26.7,55,26.9,0.0,14.7,104,0.0,0.0,0.0
2026-05-04T21:00,26.1,57,26.6,0.0,13.3,106,0.0,0.0,0.0
2026-05-04T22:00,25.1,64,26.1,0.0,11.9,75,0.0,0.0,0.0
2026-05-04T23:00,25.2,69,27.6,0.0,7.3,50,0.0,0.0,0.0
2026-05-05T00:00,24.3,73,26.3,0.0,9.1,166,0.0,0.0,0.0
2026-05-05T01:00,24.0,73,26.1,0.0,7.7,152,0.0,0.0,0.0
2026-05-05T02:00,23.9,73,26.2,0.0,5.7,189,0.0,0.0,0.0
2026-05-05T03:00,23.5,74,25.7,0.0,6.7,183,0.0,0.0,0.0
2026-05-05T04:00,22.6,78,24.7,0.0,6.5,93,0.0,0.0,0.0
2026-05-05T05:00,22.2,85,23.9,0.0,12.9,75,0.0,0.0,0.0
2026-05-05T06:00,22.7,83,25.1,0.0,9.1,82,26.0,36.7,22.0
2026-05-05T07:00,24.2,78,27.2,0.0,5.5,49,155.0,190.2,101.0
2026-05-05T08:00,26.4,68,29.1,0.0,7.1,56,334.0,342.7,165.0
2026-05-05T09:00,27.8,62,30.4,0.0,7.0,64,420.0,280.3,230.0
2026-05-05T10:00,29.1,51,31.9,0.0,6.1,118,671.0,502.7,256.0
2026-05-05T11:00,30.2,40,32.1,0.0,4.7,137,710.0,477.3,268.0
2026-05-05T12:00,30.6,39,33.0,0.0,7.9,125,851.0,596.5,271.0
2026-05-05T13:00,30.0,43,31.5,0.0,11.7,88,768.0,522.1,266.0
2026-05-05T14:00,29.9,41,31.4,0.7,8.1,66,693.0,485.3,259.0
2026-05-05T15:00,30.1,40,30.8,0.0,6.5,6,481.0,341.9,216.0
2026-05-05T16:00,28.3,46,28.6,0.0,10.9,74,401.0,354.3,184.0
2026-05-05T17:00,29.5,40,30.1,0.0,6.4,315,220.0,201.4,136.0
2026-05-05T18:00,28.7,47,30.2,0.0,3.8,343,85.0,98.8,65.0
2026-05-05T19:00,27.5,51,28.5,0.0,8.0,9,6.0,0.0,6.0
2026-05-05T20:00,26.5,51,26.6,0.0,12.2,53,0.0,0.0,0.0
2026-05-05T21:00,25.4,56,26.1,0.0,8.9,72,0.0,0.0,0.0
2026-05-05T22:00,24.6,62,26.0,0.0,6.6,73,0.0,0.0,0.0
2026-05-05T23:00,23.6,73,26.1,0.0,4.3,135,0.0,0.0,0.0
2026-05-06T00:00,22.9,81,26.1,0.0,2.2,171,0.0,0.0,0.0
2026-05-06T01:00,22.2,85,25.8,0.0,0.4,243,0.0,0.0,0.0
2026-05-06T02:00,21.6,87,24.7,0.0,2.2,325,0.0,0.0,0.0
2026-05-06T03:00,21.2,87,23.9,0.0,4.7,9,0.0,0.0,0.0
2026-05-06T04:00,21.0,86,23.5,0.0,4.4,351,0.0,0.0,0.0
2026-05-06T05:00,20.9,88,23.8,0.0,2.6,155,0.0,0.0,0.0
2026-05-06T06:00,21.8,83,24.5,0.0,3.3,216,28.0,36.3,24.0
2026-05-06T07:00,24.2,71,27.1,0.0,1.8,217,157.0,192.2,102.0
2026-05-06T08:00,26.8,58,29.3,0.0,2.3,266,346.0,369.6,163.0
2026-05-06T09:00,29.2,46,30.7,0.0,4.2,290,542.0,494.4,206.0
2026-05-06T10:00,31.0,35,32.4,0.0,5.4,312,710.0,574.4,235.0
2026-05-06T11:00,32.0,30,33.8,0.0,4.8,326,828.0,620.2,253.0
2026-05-06T12:00,33.2,27,34.6,0.0,5.7,302,836.0,574.3,277.0
2026-05-06T13:00,33.9,25,34.7,0.0,8.3,284,844.0,589.1,277.0
2026-05-06T14:00,34.0,24,33.7,0.0,11.1,279,767.0,562.9,263.0
2026-05-06T15:00,33.8,23,32.6,0.0,10.1,276,590.0,450.8,240.0
2026-05-06T16:00,33.7,23,32.6,0.0,7.8,275,451.0,412.2,198.0
2026-05-06T17:00,33.0,23,32.7,0.0,0.6,146,267.0,291.5,145.0
2026-05-06T18:00,32.0,25,30.9,0.0,6.8,101,94.0,97.9,74.0
2026-05-06T19:00,30.1,29,29.3,0.0,5.5,117,7.0,0.0,7.0
2026-05-06T20:00,28.9,36,29.2,0.0,2.3,122,0.0,0.0,0.0
2026-05-06T21:00,28.1,35,26.9,0.0,10.2,103,0.0,0.0,0.0
2026-05-06T22:00,27.1,39,25.6,0.0,14.1,111,0.0,0.0,0.0
2026-05-06T23:00,26.1,49,25.7,0.0,13.0,91,0.0,0.0,0.0
2026-05-07T00:00,25.4,52,25.1,0.0,12.4,104,0.0,0.0,0.0
2026-05-07T01:00,25.2,53,25.0,0.0,12.8,105,0.0,0.0,0.0
2026-05-07T02:00,24.9,52,23.6,0.0,18.3,80,0.0,0.0,0.0
2026-05-07T03:00,24.0,55,22.7,0.1,18.2,108,0.0,0.0,0.0
2026-05-07T04:00,22.8,62,21.8,0.0,18.2,129,0.0,0.0,0.0
2026-05-07T05:00,23.3,61,22.4,0.0,18.1,137,0.0,0.0,0.0
2026-05-07T06:00,23.8,61,23.3,0.0,16.7,139,25.0,26.9,22.0
2026-05-07T07:00,25.1,57,24.9,0.0,14.9,135,158.0,190.7,103.0
2026-05-07T08:00,27.0,53,26.7,0.0,17.6,135,344.0,366.1,162.0
2026-05-07T09:00,29.0,49,28.6,0.0,19.4,120,538.0,488.8,205.0
2026-05-07T10:00,30.6,43,30.4,0.0,22.6,124,703.0,565.0,235.0
2026-05-07T11:00,31.9,38,32.1,0.0,21.1,136,819.0,608.6,254.0
2026-05-07T12:00,32.7,30,32.5,0.0,18.8,116,885.0,641.4,260.0
2026-05-07T13:00,29.6,44,28.1,0.0,24.7,116,457.0,180.6,283.0
2026-05-07T14:00,29.7,43,28.5,0.0,21.1,97,550.0,299.0,282.0
2026-05-07T15:00,28.9,43,27.7,0.0,20.3,112,290.0,45.0,255.0
2026-05-07T16:00,30.2,40,29.3,0.0,17.6,125,446.0,393.5,204.0
2026-05-07T17:00,30.1,37,28.7,0.0,18.5,127,269.0,302.3,142.0
