time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,wind_direction_10m,shortwave_radiation,direct_normal_irradiance,diffuse_radiation
2026-05-01T00:00,31.3,32,30.8,0.0,8.8,270,0.0,0.0,0.0
2026-05-01T01:00,31.4,30,30.3,0.0,10.6,302,0.0,0.0,0.0
2026-05-01T02:00,31.4,27,29.9,0.0,10.4,287,0.0,0.0,0.0
2026-05-01T03:00,29.8,30,28.9,0.0,6.9,256,0.0,0.0,0.0
2026-05-01T04:00,28.5,34,27.9,0.0,6.4,230,0.0,0.0,0.0
2026-05-01T05:00,27.3,50,28.0,0.0,9.3,246,0.0,0.0,0.0
2026-05-01T06:00,28.1,41,28.1,0.0,8.1,275,19.0,51.8,14.0
2026-05-01T07:00,29.3,34,28.8,0.0,7.1,263,171.0,352.8,78.0
2026-05-01T08:00,31.1,31,30.2,0.0,9.9,270,398.0,567.1,120.0
2026-05-01T09:00,33.3,25,32.0,0.0,12.8,284,621.0,689.7,146.0
2026-05-01T10:00,34.9,21,34.1,0.0,13.2,287,806.0,760.5,163.0
2026-05-01T11:00,34.2,23,34.4,0.0,12.6,274,933.0,800.0,173.0
2026-05-01T12:00,35.7,20,36.1,0.0,12.1,270,986.0,812.0,178.0
2026-05-01T13:00,36.5,20,37.0,0.0,12.3,266,966.0,808.1,176.0
2026-05-01T14:00,37.0,21,37.3,0.0,12.2,261,870.0,782.2,167.0
2026-05-01T15:00,37.7,20,37.2,0.0,10.7,263,708.0,727.7,152.0
2026-05-01T16:00,37.9,18,36.2,0.0,10.9,292,499.0,631.7,131.0
2026-05-01T17:00,37.6,18,35.3,0.0,13.8,305,269.0,463.5,99.0
2026-05-01T18:00,37.1,18,35.4,0.0,10.3,305,64.0,173.5,38.0
2026-05-01T19:00,35.8,20,34.7,0.0,6.5,358,0.0,0.0,0.0
2026-05-01T20:00,34.7,22,34.0,0.0,4.5,74,0.0,0.0,0.0
2026-05-01T21:00,33.3,26,32.8,0.0,5.3,128,0.0,0.0,0.0
2026-05-01T22:00,31.9,30,31.6,0.0,6.3,175,0.0,0.0,0.0
2026-05-01T23:00,30.3,35,30.4,0.0,6.4,238,0.0,0.0,0.0
2026-05-02T00:00,29.6,39,29.9,0.0,7.5,235,0.0,0.0,0.0
2026-05-02T01:00,29.4,39,29.4,0.0,8.6,255,0.0,0.0,0.0
